@@	1100	Hangul Jamo	11FF
11C7	HANGUL JONGSEONG NIEUN-SIOS
11C8	HANGUL JONGSEONG NIEUN-PANSIOS
11C9	HANGUL JONGSEONG NIEUN-THIEUTH
11CA	HANGUL JONGSEONG TIKEUT-KIYEOK
11CB	HANGUL JONGSEONG TIKEUT-RIEUL
11CC	HANGUL JONGSEONG RIEUL-KIYEOK-SIOS
11CD	HANGUL JONGSEONG RIEUL-NIEUN
11CE	HANGUL JONGSEONG RIEUL-TIKEUT
11CF	HANGUL JONGSEONG RIEUL-TIKEUT-HIEUH
11D0	HANGUL JONGSEONG SSANGRIEUL
11D1	HANGUL JONGSEONG RIEUL-MIEUM-KIYEOK
11D2	HANGUL JONGSEONG RIEUL-MIEUM-SIOS
11D3	HANGUL JONGSEONG RIEUL-PIEUP-SIOS
11D4	HANGUL JONGSEONG RIEUL-PIEUP-HIEUH
11D5	HANGUL JONGSEONG RIEUL-KAPYEOUNPIEUP
11D6	HANGUL JONGSEONG RIEUL-SSANGSIOS
11D7	HANGUL JONGSEONG RIEUL-PANSIOS
11D8	HANGUL JONGSEONG RIEUL-KHIEUKH
11D9	HANGUL JONGSEONG RIEUL-YEORINHIEUH
11DA	HANGUL JONGSEONG MIEUM-KIYEOK
11DB	HANGUL JONGSEONG MIEUM-RIEUL
11DC	HANGUL JONGSEONG MIEUM-PIEUP
11DD	HANGUL JONGSEONG MIEUM-SIOS
11DE	HANGUL JONGSEONG MIEUM-SSANGSIOS
11DF	HANGUL JONGSEONG MIEUM-PANSIOS
11E0	HANGUL JONGSEONG MIEUM-CHIEUCH
11E1	HANGUL JONGSEONG MIEUM-HIEUH
11E2	HANGUL JONGSEONG KAPYEOUNMIEUM
11E3	HANGUL JONGSEONG PIEUP-RIEUL
11E4	HANGUL JONGSEONG PIEUP-PHIEUPH
11E5	HANGUL JONGSEONG PIEUP-HIEUH
11E6	HANGUL JONGSEONG KAPYEOUNPIEUP
11E7	HANGUL JONGSEONG SIOS-KIYEOK
11E8	HANGUL JONGSEONG SIOS-TIKEUT
11E9	HANGUL JONGSEONG SIOS-RIEUL
11EA	HANGUL JONGSEONG SIOS-PIEUP
11EB	HANGUL JONGSEONG PANSIOS
11EC	HANGUL JONGSEONG IEUNG-KIYEOK
	% HANGUL JONGSEONG YESIEUNG-KIYEOK
11ED	HANGUL JONGSEONG IEUNG-SSANGKIYEOK
	% HANGUL JONGSEONG YESIEUNG-SSANGKIYEOK
11EE	HANGUL JONGSEONG SSANGIEUNG
	% HANGUL JONGSEONG SSANGYESIEUNG
11EF	HANGUL JONGSEONG IEUNG-KHIEUKH
	% HANGUL JONGSEONG YESIEUNG-KHIEUKH
11F0	HANGUL JONGSEONG YESIEUNG
11F1	HANGUL JONGSEONG YESIEUNG-SIOS
11F2	HANGUL JONGSEONG YESIEUNG-PANSIOS
11F3	HANGUL JONGSEONG PHIEUPH-PIEUP
11F4	HANGUL JONGSEONG KAPYEOUNPHIEUPH
